Asset,GLA,Rent,Walt
I5,1288,14788.99,
I6,1038,14556,
I9,2032,16818.86,
K11,1580,21431.7,
K14,1088,11161.12,
K17,8938,82092.89,
K18,795,5420.12,
K2,2199,19837.33,
K8,1179,12980.37,
M1,880,8602.92,
M2,1113,6195,
N4,956,8928,
P2,1046,10380.99,
S1,1559,16185,
S2,1636,16400.12,
S3,1971,17156,
S4,1601,16251,
S5,1832,19049.02,
S6,1587,16077.51,
T1,1547,17808.81,
T10,2357,20286.95,
T13,1857,15211.01,
T14,1178,17787.57,
T15,1497,21883.89,
T20,1353,14967.65,
T21,1715,20240,
T22,1385,12267.84,
T23,2796,25509.56,
T27,3437,37992.45,
T29,3367,34100,
T3,2372,19969.24,
T32,1618,17201.84,
T35,2000,21895,
T36,1117,11664.25,
T37,2153,21749.87,
T38,2161,17161.47,
T40,3174,31086.77,
T5,1996,21783,
T7,1277,13370.5,
T8,2755,27773.05,
T9,1431,19848,
U1,975,7500,
U3,1293,11049.16,
U4,1154,8627.27,
U5,781,5540.5,
Z1,1100,5200,
Z3,1322,10425.09,
A13,1109,9432.833333,
A14,1087,9966.7,
A9,1265,10421.39,
C10,1300,13818.71,
C14,1557,15578.11,
C5,1485,13797.11,
E4,1390,6213.72,
E5,1026,11341.53,
E6,1000,9540,
E8,973,0,
E9,1035,11047.8,
I4,1830,14633.33,
I7,1032,13981.7,
I8,1150,12392.6,
K1,1090,7350,
K4,1662,12922.34,
K9,1287,14435.44,
L1,5314,47916.67,
L2,8878,75000,
L3,6561,36250,
L4,7053,49662.43,
L5,6647,63568.58,
L6,7638,70863.33,
L7,10797,50000,
N3,1144,15415.52,
N5,1031,10673.26,
O1,5886,61854.83,
Q2,8320,54131.75,
Q6,1223,8827.55,
Q7,1414,10494,
R2,5892,18537.75,
R3,1000,7573.3,
R5,1044,12944.76,
V1,3169,34302.49,
V10,1161,18267.92,
V13,1069,10500,
V16,936,13987.5,
V18,1018,11121.86,
V19,2153,20149.95,
V2,1097,16762.78,
V20,1247,14657.39,
V22,1991,23628.6,
V23,929,14524.43,
V24,1110,17852.16,
V27,2214,16037.22,
V28,936,17224.13,
V29,8627,33600.85,
V3,1156,10716.08,
V30,1037,5066.666667,
V5,1025,15835.06,
V6,4134,31365.8,
V8,1063,16354.11,
